C�digo;CNPJ/CPF/CIE
1;00.000.000/0000-00
2;11.111.111/1111-11
3;06.085.839/0001-56
4;20.883.880/0001-07
5;18.295.246/0001-01
6;11.469.066/0001-41
7;03.972.290/0001-23
8;25.695.867/0001-30
9;04.489.066/0001-48
10;09.318.839/0001-47
11;19.621.333/0001-66
12;19.501.170/0001-88
14;09.480.788/0001-55
15;23.068.737/0001-41
17;16.859.092/0001-08
18;00.680.045/0001-54
19;23.833.668/0001-15
20;16.842.759/0001-51
22;01.369.681/0001-22
23;20.063.277/0001-70
24;03.658.820/0002-44
25;04.435.257/0001-27
26;68.501.907/0001-78
27;06.938.834/0001-29
28;10.624.234/0001-63
29;18.839.589/0001-81
30;07.307.206/0001-08
31;20.581.146/0001-85
32;03.343.392/0001-80
33;01.342.736/0001-00
34;02.515.417/0001-12
35;20.469.961/0001-57
36;10.301.066/0001-75
37;08.730.811/0001-50
38;08.901.851/0001-17
39;11.816.962/0001-30
40;07.688.752/0001-36
41;03.260.631/0001-38
42;07.902.148/0001-60
43;07.864.406/0001-61
44;07.822.749/0001-63
45;03.422.792/0001-80
46;10.374.011/0001-95
47;03.288.851/0001-70
48;00.211.760/0001-48
49;08.091.694/0001-21
50;08.259.685/0001-05
51;18.327.312/0001-70
52;25.706.029/0001-14
53;07.989.103/0001-75
54;04.116.754/0001-62
55;10.744.785/0001-60
56;12.083.347/0001-24
57;08.288.155/0001-87
58;01.462.855/0001-05
59;04.904.993/0001-87
60;10.779.173/0001-03
61;12.474.721/0001-12
62;16.859.084/0001-53
63;09.009.313/0001-85
64;10.803.163/0001-66
65;05.309.252/0001-10
66;13.843.457/0001-00
67;08.602.909/0001-21
68;10.823.528/0001-14
69;11.099.572/0001-96
70;11.289.084/0001-41
71;12.388.830/0001-17
72;20.468.039/0001-45
73;13.707.854/0001-54
74;14.108.865/0001-80
75;05.804.775/0001-33
76;05.804.775/0002-14
77;01.150.477/0001-16
78;41.886.482/0003-78
79;14.432.456/0001-35
80;15.152.423/0001-02
81;11.356.485/0001-77
82;16.102.208/0001-51
83;15.753.530/0001-88
84;19.146.851/0001-75
85;17.511.695/0001-79
86;17.780.365/0001-89
87;17.982.334/0001-00
88;18.132.025/0001-04
89;14.595.091/0001-60
90;18.290.850/0001-37
91;18.630.415/0001-04
92;05.988.198/0001-87
93;02.695.611/0001-27
94;19.339.422/0001-14
95;19.374.012/0001-04
96;15.307.162/0001-44
97;19.638.684/0001-80
98;19.849.556/0001-85
99;19.931.496/0001-45
100;20.302.645/0001-96
101;01.238.981/0001-72
102;20.493.398/0001-52
103;20.674.101/0001-55
104;17.693.104/0001-21
105;21.034.014/0001-04
106;21.141.289/0001-39
107;21.496.438/0001-82
108;66.335.928/0001-35
109;07.615.599/0001-17
110;07.615.599/0002-06
111;16.524.972/0001-15
112;21.528.007/0001-50
113;21.825.675/0001-40
